Time,T1,T2,Q1,Q2
0,23.81,23.48,50.0,0.0
1.0,23.81,23.48,50.0,0.0
2.0,23.81,23.48,50.0,0.0
3.0,23.81,23.48,50.0,0.0
4.01,23.81,23.48,50.0,0.0
5.01,23.81,23.48,50.0,0.0
6.0,23.81,23.48,50.0,0.0
7.0,24.13,23.48,50.0,0.0
8.0,24.13,23.48,50.0,0.0
9.0,24.13,23.48,50.0,0.0
10.01,24.13,23.48,50.0,0.0
11.0,24.13,23.48,50.0,0.0
12.0,24.13,23.48,50.0,0.0
13.0,24.45,23.48,50.0,0.0
14.0,24.45,23.48,50.0,0.0
15.0,24.45,23.48,50.0,0.0
16.0,24.45,23.48,50.0,0.0
17.0,24.77,23.48,50.0,0.0
18.0,24.77,23.48,50.0,0.0
19.0,24.77,23.48,50.0,0.0
20.0,24.77,23.48,50.0,0.0
21.01,25.1,23.48,50.0,0.0
22.0,25.1,23.48,50.0,0.0
23.0,25.42,23.48,50.0,0.0
24.0,25.42,23.81,50.0,0.0
25.0,25.42,23.48,50.0,0.0
26.0,25.74,23.48,50.0,0.0
27.0,25.74,23.48,50.0,0.0
28.0,25.74,23.48,50.0,0.0
29.0,26.06,23.48,50.0,0.0
30.01,26.06,23.48,50.0,0.0
31.0,26.06,23.81,50.0,0.0
32.01,26.39,23.48,50.0,0.0
33.0,26.39,23.81,50.0,0.0
34.01,26.71,23.81,50.0,0.0
35.0,26.71,23.81,50.0,0.0
36.01,26.71,23.81,50.0,0.0
37.0,27.03,23.81,50.0,0.0
38.0,27.03,23.81,50.0,0.0
39.0,27.35,23.81,50.0,0.0
40.0,27.35,23.81,50.0,0.0
41.0,27.67,23.81,50.0,0.0
42.0,27.67,23.81,50.0,0.0
43.0,27.67,23.81,50.0,0.0
44.0,28.0,23.81,50.0,0.0
45.0,28.0,23.81,50.0,0.0
46.0,28.32,23.81,50.0,0.0
47.0,28.32,23.81,50.0,0.0
48.0,28.32,23.81,50.0,0.0
49.0,28.64,23.81,50.0,0.0
50.0,28.64,23.81,50.0,0.0
51.0,28.96,23.81,50.0,0.0
52.01,28.96,23.81,50.0,0.0
53.0,29.29,24.13,50.0,0.0
54.0,29.29,23.81,50.0,0.0
55.0,29.29,23.81,50.0,0.0
56.01,29.61,23.81,50.0,0.0
57.0,29.61,24.13,50.0,0.0
58.01,29.93,24.13,50.0,0.0
59.01,29.93,24.13,50.0,0.0
60.0,30.25,24.13,50.0,0.0
61.0,30.25,24.13,50.0,0.0
62.01,30.25,24.13,50.0,0.0
63.0,30.57,24.13,50.0,0.0
64.0,30.57,24.13,50.0,0.0
65.0,30.9,24.13,50.0,0.0
66.01,30.9,24.13,50.0,0.0
67.0,31.22,24.13,50.0,0.0
68.0,31.22,24.13,50.0,0.0
69.0,31.54,24.13,50.0,0.0
70.0,31.54,24.45,50.0,0.0
71.01,31.54,24.13,50.0,0.0
72.0,31.86,24.45,50.0,0.0
73.0,31.86,24.45,50.0,0.0
74.0,31.86,24.45,50.0,0.0
75.01,32.19,24.45,50.0,0.0
76.0,32.19,24.45,50.0,0.0
77.01,32.51,24.45,50.0,0.0
78.0,32.51,24.45,50.0,0.0
79.01,32.83,24.45,50.0,0.0
80.0,32.83,24.45,50.0,0.0
81.0,32.83,24.45,50.0,0.0
82.0,33.15,24.45,50.0,0.0
83.01,33.15,24.45,50.0,0.0
84.0,33.48,24.45,50.0,0.0
85.01,33.48,24.45,50.0,0.0
86.01,33.48,24.77,50.0,0.0
87.0,33.8,24.77,50.0,0.0
88.0,33.8,24.77,50.0,0.0
89.01,33.8,24.77,50.0,0.0
90.0,34.12,24.77,50.0,0.0
91.0,34.44,24.77,50.0,0.0
92.01,34.44,24.77,50.0,0.0
93.0,34.44,24.77,50.0,0.0
94.01,34.44,24.77,50.0,0.0
95.0,34.76,24.77,50.0,0.0
96.0,34.76,24.77,50.0,0.0
97.0,35.09,24.77,50.0,0.0
98.0,35.09,24.77,50.0,0.0
99.0,35.09,24.77,50.0,0.0
100.0,35.41,25.1,50.0,0.0
101.0,35.41,24.77,50.0,0.0
102.0,35.73,25.1,50.0,0.0
103.0,35.73,25.1,50.0,0.0
104.0,35.73,25.1,50.0,0.0
105.0,36.05,25.1,50.0,0.0
106.0,36.05,25.1,50.0,0.0
107.0,36.05,25.1,50.0,0.0
108.0,36.38,25.1,50.0,0.0
